Timestamp (ns),Timestamp2,I,Q
2024-11-17 11:03:08.349144798,.979,0.000686,-0.00119
2024-11-17 11:03:08.349144809,.812,-0.0012,0.000167
2024-11-17 11:03:08.349144820,.645,0.000166,0.000167
2024-11-17 11:03:08.349144831,.478,0.000343,0.000852
2024-11-17 11:03:08.349144842,.311,0.000343,-0.000343
2024-11-17 11:03:08.349144853,.144,-0.000343,0.000342
2024-11-17 11:03:08.349144863,.977,-0.000686,-0.000167
2024-11-17 11:03:08.349144874,.810,0.00051,0.0012
2024-11-17 11:03:08.349144885,.643,-0.000166,2.41e-07
2024-11-17 11:03:08.349144896,.476,-0.00171,-0.00137
2024-11-17 11:03:08.349144907,.309,-0.000686,3.78e-07
2024-11-17 11:03:08.349144918,.142,0.000166,-0.00154
2024-11-17 11:03:08.349144928,.975,0.00103,0.000686
2024-11-17 11:03:08.349144939,.808,0.0012,-0.000167
2024-11-17 11:03:08.349144950,.641,-0.000343,0.000509
2024-11-17 11:03:08.349144961,.474,-0.00188,0.00103
2024-11-17 11:03:08.349144972,.307,-0.000342,-0.00137
2024-11-17 11:03:08.349144983,.140,-0.000343,0.000343
2024-11-17 11:03:08.349144993,.973,0.000167,0.00051
2024-11-17 11:03:08.349145004,.806,-0.000167,0.000853
2024-11-17 11:03:08.349145015,.639,0.00119,0.000343
2024-11-17 11:03:08.349145026,.472,0.00137,0.000852
2024-11-17 11:03:08.349145037,.305,0.000509,0.000852
2024-11-17 11:03:08.349145048,.138,0.000686,-3.95e-07
2024-11-17 11:03:08.349145058,.971,-0.000166,0.00137
2024-11-17 11:03:08.349145069,.804,4.12e-07,0.000686
2024-11-17 11:03:08.349145080,.637,-0.000852,-0.000166
2024-11-17 11:03:08.349145091,.470,-0.000686,0.0012
2024-11-17 11:03:08.349145102,.303,0.000686,0.00103
2024-11-17 11:03:08.349145113,.136,0.00119,1.76e-08
2024-11-17 11:03:08.349145123,.969,-3.3e-07,0.000343
2024-11-17 11:03:08.349145134,.802,0.000686,0.000166
2024-11-17 11:03:08.349145145,.635,0.00051,0.000509
2024-11-17 11:03:08.349145156,.468,-0.000852,0.00291
2024-11-17 11:03:08.349145167,.301,-0.000166,1.66e-07
2024-11-17 11:03:08.349145178,.134,-0.000343,-0.000852
2024-11-17 11:03:08.349145188,.967,0.000509,-0.000166
2024-11-17 11:03:08.349145199,.800,0.000685,0.000167
2024-11-17 11:03:08.349145210,.633,-0.000853,-5.49e-08
2024-11-17 11:03:08.349145221,.466,0.000343,0.000686
2024-11-17 11:03:08.349145232,.299,-0.000852,0.000166
2024-11-17 11:03:08.349145243,.132,0.000167,-0.00103
2024-11-17 11:03:08.349145253,.965,4.19e-07,0.0012
2024-11-17 11:03:08.349145264,.798,-0.000509,0.00051
2024-11-17 11:03:08.349145275,.631,-0.00137,0.000853
2024-11-17 11:03:08.349145286,.464,0.00103,3.83e-07
2024-11-17 11:03:08.349145297,.297,0.000852,1.71e-07
2024-11-17 11:03:08.349145308,.130,-0.00103,0.000852
2024-11-17 11:03:08.349145318,.963,-2.22e-07,-0.000343
2024-11-17 11:03:08.349145329,.796,0.000343,-0.000167
2024-11-17 11:03:08.349145340,.629,-0.000166,-0.000167
